elapsed_s,pid,ram_mb,handles,threads,tcp554,all_healthy,health_json
0.0,23860,227.8,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 31, ""stall_count"": 0, ""readable_frames"": 155, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 94, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 63, ""stall_count"": 0, ""readable_frames"": 17, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 125, ""stall_count"": 0, ""readable_frames"": 48, ""queue_depth"": 8, ""last_error"": """"}}"
5.0,23860,230.0,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 94, ""stall_count"": 0, ""readable_frames"": 230, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 547, ""stall_count"": 0, ""readable_frames"": 124, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 0, ""stall_count"": 0, ""readable_frames"": 52, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 15, ""stall_count"": 0, ""readable_frames"": 84, ""queue_depth"": 8, ""last_error"": """"}}"
10.0,23860,230.1,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 306, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 47, ""stall_count"": 0, ""readable_frames"": 164, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 94, ""stall_count"": 0, ""readable_frames"": 87, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 119, ""queue_depth"": 8, ""last_error"": """"}}"
15.1,23860,230.3,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 30, ""stall_count"": 0, ""readable_frames"": 381, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 170, ""stall_count"": 0, ""readable_frames"": 199, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 592, ""stall_count"": 0, ""readable_frames"": 117, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 30, ""stall_count"": 0, ""readable_frames"": 154, ""queue_depth"": 8, ""last_error"": """"}}"
20.1,23860,230.3,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 46, ""stall_count"": 0, ""readable_frames"": 456, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 186, ""stall_count"": 0, ""readable_frames"": 234, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 436, ""stall_count"": 0, ""readable_frames"": 155, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 189, ""queue_depth"": 8, ""last_error"": """"}}"
25.1,23860,231.0,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 0, ""stall_count"": 0, ""readable_frames"": 532, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 202, ""stall_count"": 0, ""readable_frames"": 269, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 62, ""stall_count"": 0, ""readable_frames"": 193, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 77, ""stall_count"": 0, ""readable_frames"": 224, ""queue_depth"": 8, ""last_error"": """"}}"
30.1,23860,231.0,577,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 0, ""stall_count"": 0, ""readable_frames"": 607, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 31, ""stall_count"": 0, ""readable_frames"": 305, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 61, ""stall_count"": 0, ""readable_frames"": 228, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 422, ""stall_count"": 0, ""readable_frames"": 257, ""queue_depth"": 8, ""last_error"": """"}}"
35.1,23860,231.0,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 681, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 31, ""stall_count"": 0, ""readable_frames"": 340, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 77, ""stall_count"": 0, ""readable_frames"": 263, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 233, ""stall_count"": 0, ""readable_frames"": 293, ""queue_depth"": 8, ""last_error"": """"}}"
40.1,23860,231.2,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 757, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 47, ""stall_count"": 0, ""readable_frames"": 375, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 218, ""stall_count"": 0, ""readable_frames"": 297, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 266, ""stall_count"": 0, ""readable_frames"": 328, ""queue_depth"": 8, ""last_error"": """"}}"
45.2,23860,230.8,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 156, ""stall_count"": 0, ""readable_frames"": 824, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 78, ""stall_count"": 0, ""readable_frames"": 410, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 233, ""stall_count"": 0, ""readable_frames"": 332, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 15, ""stall_count"": 0, ""readable_frames"": 365, ""queue_depth"": 8, ""last_error"": """"}}"
