stage,elapsed_seconds,camera_id,frames_received,frames_selected,inferences,detections,events,active_tracks,completed_tracks,temporal_activities,trajectory_candidates,trajectories,behavior_features,behavior_signals,risk_events,evidence_written,queue_depths,cpu_percent,ram_mb,threads,errors,stalls,healthy_cameras
STAGE_A,5.547,ALL,106,1,1,1,1,1,0,1,0,0,3,0,0,1,8,130.3,461.758,80,0,0,1
STAGE_A,10.547,ALL,179,10,10,10,10,1,0,1,0,0,30,8,0,10,8,314.8,475.27,79,0,0,1
STAGE_A,15.547,ALL,254,18,18,17,17,1,0,1,0,0,51,15,0,18,8,290.9,471.18,79,0,0,1
STAGE_A,20.547,ALL,329,28,28,27,27,1,0,1,0,0,81,25,0,28,8,357.5,470.41,79,0,0,1
STAGE_A,25.547,ALL,407,37,37,36,36,1,0,1,0,0,108,34,0,37,8,336.9,470.434,79,0,0,1
STAGE_B,5.078,ALL,214,12,16,11,11,2,0,2,0,0,33,7,0,12,16,463.1,533.211,118,0,0,2
STAGE_B,10.078,ALL,324,25,34,20,20,2,0,2,0,0,60,16,0,25,16,605.9,534.777,118,0,0,2
STAGE_B,15.078,ALL,434,37,50,28,28,2,1,3,0,0,84,23,0,37,16,503.4,534.855,118,0,0,2
STAGE_B,20.156,ALL,545,50,67,39,39,2,2,4,0,0,117,32,0,50,16,531.7,534.789,115,0,0,2
STAGE_B,25.156,ALL,654,63,84,50,50,2,3,5,0,0,150,41,0,63,16,583.4,534.941,115,0,0,2
STAGE_C,5.0,ALL,537,19,31,13,13,2,0,2,0,0,39,9,0,19,32,721.2,616.273,193,0,0,4
STAGE_C,10.0,ALL,712,41,64,33,33,3,0,3,0,0,99,27,0,41,32,734.1,604.438,193,0,0,4
STAGE_C,15.0,ALL,887,60,97,48,48,4,2,6,1,1,147,38,0,60,32,719.4,604.359,193,0,0,4
STAGE_C,20.0,ALL,1076,80,126,53,53,4,3,7,5,1,162,41,0,80,32,688.1,617.012,192,0,0,4
STAGE_C,25.031,ALL,1257,97,155,62,62,4,7,11,10,2,192,45,0,97,32,725.5,606.691,192,0,0,4
MAIN,5.0,ALL,541,15,21,6,6,3,0,3,1,1,21,2,0,15,32,561.6,637.012,192,0,0,4
