stage,elapsed_seconds,camera_id,frames_received,frames_selected,inferences,detections,events,active_tracks,completed_tracks,temporal_activities,trajectory_candidates,trajectories,behavior_features,behavior_signals,risk_events,evidence_written,queue_depths,cpu_percent,ram_mb,threads,errors,stalls,healthy_cameras
STAGE_A,7.031,ALL,130,1,1,1,1,1,0,1,0,0,3,0,0,1,8,118.8,468.297,80,0,0,1
STAGE_B,5.0,ALL,254,12,16,0,0,0,0,0,0,0,0,0,0,12,16,513.1,534.547,118,0,0,2
STAGE_C,5.0,ALL,481,18,31,8,8,2,0,2,0,0,24,5,0,18,32,672.2,603.172,193,0,0,4
MAIN,5.032,ALL,540,24,35,10,10,2,0,2,0,0,30,7,0,24,32,716.4,618.105,193,0,0,4
MAIN,10.032,ALL,714,41,67,22,22,2,1,3,0,0,66,17,0,41,32,701.2,622.484,193,0,0,4
MAIN,15.032,ALL,902,62,97,38,38,2,2,4,0,0,114,31,0,62,32,681.2,605.777,193,0,0,4
MAIN,20.032,ALL,1081,84,130,54,54,2,2,4,0,0,162,47,0,84,32,719.7,606.484,193,0,0,4
MAIN,25.032,ALL,1262,104,164,72,72,2,2,4,0,0,216,65,0,104,32,697.5,623.941,193,0,0,4
MAIN,30.094,ALL,1441,124,196,87,87,2,2,4,0,0,261,80,0,124,32,709.3,623.84,193,0,0,4
MAIN,35.094,ALL,1612,140,225,100,100,2,3,5,0,0,300,91,0,140,32,725.9,606.422,193,0,0,4
MAIN,40.094,ALL,1772,154,250,111,111,2,4,6,0,0,333,100,0,154,32,656.9,619.977,193,0,0,4
MAIN,45.094,ALL,1974,170,275,123,123,2,4,6,0,0,369,112,0,170,32,580.9,619.609,193,0,0,4
MAIN,50.094,ALL,2156,188,305,140,140,3,4,7,2,0,420,128,0,188,32,609.7,623.754,193,0,0,4
MAIN,55.188,ALL,2345,205,334,156,156,3,6,9,5,0,468,141,0,205,32,614.7,625.41,191,0,0,4
MAIN,60.188,ALL,2513,220,362,168,168,3,6,9,5,0,504,153,0,220,32,666.2,624.242,191,0,0,4
MAIN,65.188,ALL,2689,239,392,185,185,3,8,11,19,0,555,166,0,239,32,706.6,620.41,191,0,0,4
MAIN,70.188,ALL,2888,258,421,202,202,3,9,12,27,1,609,182,0,258,32,679.1,606.871,191,0,0,4
MAIN,75.235,ALL,3048,275,453,217,217,3,9,12,27,1,654,197,0,275,32,738.1,625.25,191,0,0,4
MAIN,80.422,ALL,3204,294,484,232,232,4,10,14,28,2,702,210,0,294,32,596.7,624.277,191,0,0,4
MAIN,85.516,ALL,3335,307,507,245,245,4,10,14,28,2,741,222,0,307,32,429.7,606.805,193,0,0,4
MAIN,90.516,ALL,3500,322,533,254,254,4,12,16,28,2,768,228,0,322,32,623.8,624.305,193,0,0,4
MAIN,95.532,ALL,3624,337,560,269,269,4,14,18,33,2,813,239,0,337,32,600.6,625.273,193,0,0,4
MAIN,100.578,ALL,3785,353,588,286,286,4,17,21,33,2,864,252,0,353,32,606.0,624.578,193,0,0,4
MAIN,105.578,ALL,3945,374,618,303,303,4,18,22,33,2,915,268,0,374,32,684.4,624.621,193,0,0,4
MAIN,110.594,ALL,4111,392,650,317,317,4,18,22,33,2,957,282,0,392,32,679.1,607.293,193,0,0,4
MAIN,115.594,ALL,4289,410,679,330,330,4,18,22,33,2,996,295,0,410,32,666.9,624.781,193,0,0,4
MAIN,120.594,ALL,4428,428,707,342,342,4,19,23,33,2,1032,305,0,428,32,598.4,624.801,193,0,0,4
