stage,elapsed_seconds,camera_id,frames_received,frames_selected,inferences,detections,events,active_tracks,completed_tracks,temporal_activities,trajectory_candidates,trajectories,behavior_features,behavior_signals,risk_events,evidence_written,queue_depths,cpu_percent,ram_mb,threads,errors,stalls,healthy_cameras
MAIN,5.0,ALL,389,14,27,12,12,3,0,3,0,0,36,7,0,14,32,723.1,641.609,193,0,0,4
MAIN,10.0,ALL,511,28,52,28,28,3,2,5,1,1,87,19,0,28,32,655.6,633.562,193,0,0,4
MAIN,15.047,ALL,641,44,80,40,40,3,4,7,3,1,123,28,0,44,32,649.5,641.684,193,0,0,4
MAIN,20.094,ALL,785,58,105,55,55,3,6,9,13,1,168,39,0,58,32,638.7,660.723,193,0,0,4
MAIN,25.094,ALL,974,75,133,70,70,3,9,12,20,1,213,49,0,75,32,679.1,664.605,193,0,0,4
MAIN,30.172,ALL,1158,91,160,85,85,3,9,12,32,1,258,63,0,91,32,720.3,681.465,193,0,0,4
MAIN,35.172,ALL,1329,105,185,99,99,3,10,13,32,1,300,75,0,105,32,683.8,677.461,193,0,0,4
MAIN,40.188,ALL,1480,121,214,111,111,3,13,16,32,1,336,81,0,121,32,757.0,677.812,193,0,0,4
MAIN,45.297,ALL,1644,136,237,121,121,3,15,18,32,1,366,88,0,136,32,575.0,682.922,196,0,0,4
MAIN,50.375,ALL,1813,154,268,138,138,3,16,19,32,1,417,103,0,154,32,736.3,687.16,196,0,0,4
MAIN,55.375,ALL,1999,170,296,155,155,3,17,20,32,2,471,118,0,170,32,721.6,671.41,196,0,0,4
