elapsed_s,timestamp,run_id,pid,live,stale,total_accounted,cpu_percent,ram_rss_mb,host_ram_percent,threads,handles,ffmpeg_processes,telemetry_write_failed,review_export_failed,ffmpeg_eof,stalls,total_errors
0.0,2026-08-27T16:14:08.629580,UNKNOWN,0,0,0,0,0.0,0.0,88.8,0,0,0,0,0,0,0,0
0.0,2026-08-27T16:14:54.234670,RUN-893610,15760,2,13,15,0.0,470.3,90.7,70,756,4,0,0,0,0,0
60.2,2026-08-27T16:15:54.406329,RUN-893610,15760,15,0,15,797.6,600.4,94.6,130,966,15,0,0,0,0,0
120.3,2026-08-27T16:16:54.573898,RUN-893610,15760,14,1,15,843.5,610.0,96.0,127,958,15,0,0,0,0,0
180.5,2026-08-27T16:17:54.731756,RUN-893610,15760,14,1,15,845.3,604.6,89.6,97,928,15,0,0,0,0,0
240.7,2026-08-27T16:18:54.914251,RUN-893610,15760,15,0,15,834.3,624.6,92.1,97,929,15,0,0,0,0,0
0.0,2026-08-27T16:20:03.156366,RUN-893610,0,14,1,15,0.0,0.0,86.4,0,0,0,0,0,0,0,0
60.2,2026-08-27T16:21:03.317736,RUN-893610,0,14,1,15,0.0,0.0,83.4,0,0,0,0,0,0,0,0
120.3,2026-08-27T16:22:03.475219,RUN-40E149,6600,0,15,15,0.0,299.9,87.3,55,683,2,0,0,0,0,0
180.5,2026-08-27T16:23:03.655862,RUN-40E149,6600,14,1,15,679.2,603.6,88.5,99,934,14,0,0,0,0,0
240.7,2026-08-27T16:24:03.883007,RUN-40E149,6600,15,0,15,825.4,592.3,86.3,99,932,15,0,0,0,0,0
300.9,2026-08-27T16:25:04.035151,RUN-40E149,6600,14,1,15,846.7,622.9,85.4,94,917,14,0,0,0,0,0
361.1,2026-08-27T16:26:04.228755,RUN-40E149,6600,15,0,15,853.4,621.0,85.7,127,959,15,0,0,0,0,0
421.2,2026-08-27T16:27:04.398218,RUN-40E149,6600,15,0,15,834.4,600.9,88.4,99,928,15,0,0,0,0,0
481.4,2026-08-27T16:28:04.582794,RUN-40E149,6600,14,1,15,851.0,630.9,86.5,99,928,15,0,0,0,0,0
541.6,2026-08-27T16:29:04.798876,RUN-40E149,6600,15,0,15,839.8,604.9,92.9,97,930,15,0,0,0,0,0
601.8,2026-08-27T16:30:04.977499,RUN-40E149,6600,14,1,15,845.6,610.7,93.4,97,928,15,0,0,0,0,0
662.0,2026-08-27T16:31:05.188895,RUN-40E149,6600,15,0,15,832.8,611.4,94.0,97,930,15,0,0,1,0,1
722.2,2026-08-27T16:32:05.380278,RUN-40E149,6600,14,1,15,843.5,600.3,94.9,99,928,15,0,0,1,0,1
782.4,2026-08-27T16:33:05.540365,RUN-40E149,6600,15,0,15,840.2,573.3,90.4,97,928,15,0,0,2,0,2
842.6,2026-08-27T16:34:05.731958,RUN-40E149,6600,15,0,15,845.0,571.2,89.9,97,929,15,0,0,2,0,2
0.0,2026-08-27T17:00:57.401093,RUN-554FE1,28636,14,1,15,0.0,628.9,95.3,127,958,15,0,0,0,0,0
60.3,2026-08-27T17:01:57.667101,RUN-554FE1,28636,14,1,15,835.3,599.3,93.9,97,928,15,0,0,0,0,0
120.5,2026-08-27T17:02:57.861515,RUN-554FE1,28636,14,1,15,831.6,609.9,91.1,97,928,15,0,0,0,0,0
180.7,2026-08-27T17:03:58.054350,RUN-554FE1,28636,15,0,15,832.2,291.5,74.2,99,928,15,0,0,0,0,0
0.0,2026-08-27T17:15:27.265595,RUN-687EB4,0,14,1,15,0.0,0.0,83.4,0,0,0,0,0,0,0,0
60.2,2026-08-27T17:16:27.444735,RUN-B21B91,20928,0,15,15,0.0,4.1,84.9,3,55,0,0,0,0,0,0
120.3,2026-08-27T17:17:27.594850,RUN-B21B91,20928,14,1,15,0.0,4.1,88.9,1,55,14,0,0,0,0,0
0.0,2026-08-27T17:18:46.412609,RUN-B21B91,0,14,1,15,0.0,0.0,80.9,0,0,0,0,0,0,0,0
60.2,2026-08-27T17:19:46.620590,RUN-B21B91,0,14,1,15,0.0,0.0,81.4,0,0,0,0,0,0,0,0
120.5,2026-08-27T17:20:46.883860,RUN-B21B91,0,14,1,15,0.0,0.0,84.0,0,0,0,0,0,0,0,0
